Name,Category,Rating,Address,Place ID,Potential Website
"Willis Lawn Services LLC","lawn care service",5,"5850 W Wilshire Blvd Suite 6, Oklahoma City, OK 73132, USA","ChIJ1wjQAnQFsocRHZmxTB5EqBA",Yes
"Lawn Love - Oklahoma City","lawn care service",4.9,"5956 NW 60th St, Warr Acres, OK 73122, USA","ChIJS0zWaQsFsocRm5dMs6R7h_8",Yes
"All Green Lawn & Pest","lawn care service",4.9,"7001 NW 80th St, Oklahoma City, OK 73132, USA","ChIJG6M-CvAEsocR0v-kjuVXCjA",Yes
"Pro Outlook Tree & Lawn Service","lawn care service",5,"Mailbox 80, 5601 NW 72nd St Suite 260M, Warr Acres, OK 73132, USA","ChIJVzo8yUMFsocRfcJK1Me0hmU",Yes
"Elite Lawn Care","lawn care service",4.8,"8901 S I-35 Service Rd, Oklahoma City, OK 73149, USA","ChIJA37fzNIUsocR2QULmcFULXw",Yes
"PATRIOT OUTDOORS","lawn care service",4.8,"12101 N MacArthur Blvd, Oklahoma City, OK 73162, USA","ChIJdQgDGq4DsocRX8mjAd286o0",Yes
"Serna lawn care and landscaping and tree service LLC","lawn care service",5,"6700 NW 63rd St, Warr Acres, OK 73132, USA","ChIJDy5y554FsocRBoz90C6XTWQ",Yes
"Lawn Flip, LLC","lawn care service",5,"3001 Kerry Ln, Oklahoma City, OK 73120, USA","ChIJO9X0plMbsocRBBWZChQgwF8",Yes
"TL lawn care and landscaping","lawn care service",5,"5029 NW 19th St, Oklahoma City, OK 73127, USA","ChIJ3f58yDwPsocReYjfMQF8GvU",Yes
"Old School Lawn Services","lawn care service",4.6,"1838 NW 11th St #4, Oklahoma City, OK 73106, USA","ChIJwwD1ge0QsocRaaIVRH41tbs",Yes
"High Definition Lawn and Landscape","landscaping company",5,"11415 N Western Ave, Oklahoma City, OK 73114, USA","ChIJEbWuttUbsocRiUzU9ceSDmA",Yes
"Nelson Landscaping","landscaping company",4.9,"9200 N Bryant Ave, Oklahoma City, OK 73131, USA","ChIJR1fxMhP1sYcR_q3hzrYDuWU",Yes
"Giant Landscape, LLC","landscaping company",4.9,"308 NW 69th St, Oklahoma City, OK 73116, USA","ChIJh2oQlyEZsocRsge6yei8WgI",Yes
"OAK Outdoors","landscaping company",5,"4700 NW 70th St, Oklahoma City, OK 73132, USA","ChIJjbbPWqYPdasRWUquiDy-ZkU",Yes
"Heartland Landscape Group","landscaping company",4.9,"13331 N Anderson Rd, Jones, OK 73049, USA","ChIJ7Sj86KkfsocRP3e8a3D-7SY",Yes
"Perimeter Landscape","landscaping company",5,"7421 NW 83rd St, Oklahoma City, OK 73132, USA","ChIJZfYaXKcFsocR2Fazctyi0bc",Yes
"Sunshine's Garden Design, LLC","landscaping company",4.9,"2922 NW 22nd St, Oklahoma City, OK 73107, USA","ChIJ7-_zoGkDsocRnykpbckHKtM",Yes
"J&E Lawn Landscaping LLC","landscaping company",5,"2621 S Goff Ave, Oklahoma City, OK 73108, USA","ChIJyc8sA3cRsocRyyfe0cKjDSs",Yes
"Garden Design Associates Inc","garden design",5,"4310 N Walnut Ave, Oklahoma City, OK 73105, USA","ChIJ6SV1iuYZsocRU1OSUTB7_-M",Yes
"Modern Environment LLC","garden design",5,"301 NW 104th St, Oklahoma City, OK 73114, USA","ChIJVRzrezQXsocREsES9suUyLc",Yes
"Sherwood Gardens Landscape Design & Development","garden design",4.7,"4000 E Wilshire Blvd, Oklahoma City, OK 73121, USA","ChIJ0y1XFWUZsocR5v_3z-Q1b_s",Yes
"Havenscapes","garden design",4.9,"200 NE 150th St, Edmond, OK 73013, USA","ChIJ3zhPbZEesocRbCw8hCBLHCw",Yes
"Oklahoma Ponds","pond installation",5,"1120 S Broadway, Edmond, OK 73034, USA","ChIJH-FTehQVsocRr5iwXQmwV-o",Yes
"Garden Ponds Unlimited","pond installation",4.7,"310 SW 1st St, Moore, OK 73160, USA","ChIJwxZ5WdIUsocRX5FrVm9EVkU",Yes
"TurnPro Aquatics","pond installation",3.4,"22995 Cove Wood Cir, Edmond, OK 73025, USA","ChIJLbR_IEL2sYcRLhmy--FCBag",Yes
"Heavenly Water Gardens","pond installation",5,"621 SW 11th St, Oklahoma City, OK 73109, USA","ChIJkSEZK9MWsocRY0Ok9220uEs",Yes
"Decorative Water Gardens","pond installation",5,"2001 E Britton Rd, Oklahoma City, OK 73131, USA","ChIJx2EMdeMYsocRI5Q4oHcQiGs",Yes
"Big Fountain In Pond","pond installation",4.7,"NW 158th St, Edmond, OK 73013, USA","ChIJLSEX_tgCsocRINH8uLLUcPs",Yes
"Elite Outdoor Living Solutions","pond installation",4.6,"3807 N Donald Ave, Bethany, OK 73008, USA","ChIJa9oDETorvaIRvnd8ntULX6k",Yes
"Robison Wildlife Solutions","pond installation",4,"9401 S Harrah Rd, Newalla, OK 74857, USA","ChIJG-JfTOo1socRqcXddf9KGUs",Yes
"Metro Fence Installation Company OKC","fence contractor",5,"425 W Wilshire Blvd #2k, Oklahoma City, OK 73116, USA","ChIJ0yWnZ0EZsocRYXiMDLvTZFc",Yes
"Fence OKC","fence contractor",4.6,"3200 W Reno Ave, Oklahoma City, OK 73107, USA","ChIJU_fMBGYcsocRXGt0ZYPIXY8",Yes
"Red River Fence, LLC","fence contractor",4.9,"100 N Falcon Dr, Oklahoma City, OK 73127, USA","ChIJF3kI_wUPsocRhmrrPk3Y8Bo",Yes
"Preferred Fence Solutions, Inc.","fence contractor",4.7,"8071 N Classen Blvd Suite A, Oklahoma City, OK 73114, USA","ChIJYXHNN9QbsocRZdX7RfUvUHs",Yes
"A Better Fence Construction","fence contractor",4.9,"1235 Sovereign Row Suite C4, Oklahoma City, OK 73108, USA","ChIJYTz6EgoUsocRN2EU6B3YQEE",Yes
"Apex Fence","fence contractor",4.9,"9820 W Wilshire Blvd, Yukon, OK 73099, USA","ChIJ7V4y5iUEsocRUPVz3PqiTuo",Yes
"D & G Fence Company LLC","fence contractor",4.7,"9017 NE 19th St, Oklahoma City, OK 73141, USA","ChIJLX3HQHhcsocRxlzCGwUsmBA",Yes
"Michael's Fencing, LLC","fence contractor",4.9,"8111 SW 15th St #104W, Oklahoma City, OK 73128, USA","ChIJu5aJfPrvjgIRBa4aOCHhrFc",Yes
"Fence Masters","fence contractor",4.4,"5207 NW 10th St, Oklahoma City, OK 73127, USA","ChIJZ0sJlfEEsocRlXdXkfPC3w0",Yes
"American Fencing Company Inc.","fence contractor",4,"215 Cooley Dr, Oklahoma City, OK 73127, USA","ChIJI6kzvQYOsocR1oj3g7yPuoY",Yes
"David’s Irrigation, LLC","irrigation system",5,"5956 NW 58th Terrace, Warr Acres, OK 73122, USA","ChIJUWH4trYasocRRtDZw30iVb4",Yes
"405 Irrigation","irrigation system",4.9,"13331 N Anderson Rd, Jones, OK 73049, USA","ChIJtY8tI8wRsocRAD77myS1Avk",Yes
"All Star Irrigation","irrigation system",4.2,"5413 NW 116th St, Oklahoma City, OK 73162, USA","ChIJ0fINeV8DsocR9HyhPfZZun4",Yes
"Quality Irrigation, Inc.","irrigation system",5,"3824 NE 104th St, Oklahoma City, OK 73131, USA","ChIJRf_gm6IesocRxKJ4X8iQYE4",Yes
"Andy's Sprinkler, Drainage & Lighting","irrigation system",4.9,"13509 Railway Dr # D, Oklahoma City, OK 73114, USA","ChIJ5zE1C1IfsocRNV3MXahlz2U",Yes
"Sooner Okie Irrigation & Drains","irrigation system",3.8,"5709 SW 21st St, Oklahoma City, OK 73128, USA","ChIJU7bBeiYOsocR1Pz0oA_pPXE",Yes
